# Tabla maestra de emisores de ONs — ON Radar
# Generado por build_issuer_master.py
# prefijo,cuit_emisor,razon_social,sector,fuente
prefijo,cuit_emisor,razon_social,sector,fuente
PS3,30707847367,PSA Finance Argentina Cía. Financiera S.A.,Financiero - Crédito Automotriz,afip_oficial
PSS,30707847367,PSA Finance Argentina Cía. Financiera S.A.,Financiero - Crédito Automotriz,afip_oficial
PSSW,30707847367,PSA FINANCE ARGENTINA CIA FINANCIERA SA,,afip_oficial
PZC,30655942382,Plaza Logística S.R.L.,Logística - Real Estate,afip_oficial
PZCD,30655942382,PLAZA LOGISTICA S.R.L.,,afip_oficial
PZCE,30655942382,PLAZA LOGISTICA S.R.L.,,afip_oficial
RAS,30708658819,AGROIDEAS S.A,,afip_oficial
RB,33707124909,ROMBO COMPANIA FINANCIERA S.A.,,afip_oficial
RB5,33707124909,Rombo Cía. Financiera S.A.,Financiero - Crédito Automotriz,afip_oficial
RB6,33707124909,Rombo Cía. Financiera S.A.,Financiero - Crédito Automotriz,afip_oficial
RC,30502793175,ARCOR S.A.I.C.,,afip_oficial
RC3,30502793175,Arcor S.A.I.C.,Consumo - Alimentos,afip_oficial
RCC,30502793175,Arcor S.A.I.C.,Consumo - Alimentos,afip_oficial
RCCT,30502793175,ARCOR S.A.I.C.,,afip_oficial
RD,30712257357,RDA RENTING S.A.,,afip_oficial
RDS,30712257357,RDA RENTING S.A.,,afip_oficial
RES,30691479400,RECARD S.A.,,afip_oficial
RICL,30525966859,RIBEIRO S.A.C.I.F.A. E I.,,afip_oficial
RICM,30525966859,RIBEIRO S.A.C.I.F.A. E I.,,afip_oficial
RICO,30525966859,RIBEIRO S.A.C.I.F.A. E I.,,afip_oficial
RIK,30525966859,RIBEIRO S.A.C.I.F.A. E I.,,afip_oficial
RIP,30525966859,RIBEIRO S.A.C.I.F.A. E I.,,afip_oficial
RIQ,30525966859,RIBEIRO S.A.C.I.F.A. E I.,,afip_oficial
RIR,30525966859,RIBEIRO S.A.C.I.F.A. E I.,,afip_oficial
RIS,30525966859,RIBEIRO S.A.C.I.F.A. E I.,,afip_oficial
RMS,30711913439,PRESIDENT PETROLEUM S.A.,,afip_oficial
ROS,30654691726,RADIADORES PRATS S.A.,,afip_oficial
RU,30710080085,CERAMICA RUTA 16 S.R.L.,,afip_oficial
RYS,30707211942,ROLCAR S.A,,afip_oficial
RZ,30593174057,RIZOBACTER ARGENTINA S.A.,,afip_oficial
RZ9,30593174057,Rizobacter Argentina S.A.,Agro - Biotech,afip_oficial
RZA,30593174057,Rizobacter Argentina S.A.,Agro - Biotech,afip_oficial
RZAA,30593174057,RIZOBACTER ARGENTINA S.A.,,afip_oficial
RZS,30707955267,MATIAS RUIZ Y CI(cid:141)A. S.A.,,afip_oficial
SA,30712129766,AGRONEA PRODUCCIONES SRL,,afip_oficial
SB,30715659340,SAN BAUTISTA DEL SUR SA,,afip_oficial
SG,30510968413,SUC. DE GUSTAVO LAGERHEIM S.A.,,afip_oficial
SN,30690076043,SION S.A.,,afip_oficial
SNA,30511190238,S.A. San Miguel,Agro - Frutícola,afip_oficial
SNAA,30511190238,S.A. SAN MIGUEL,,afip_oficial
SNHB,30690076043,SION S.A.,,afip_oficial
SNS,30690076043,SION S.A.,,afip_oficial
SNSD,30690076043,SION S.A.,,afip_oficial
SNSE,30690076043,SION S.A.,,afip_oficial
SOC,30600615889,SPECIAL GRAINS S.A/PETROAGRO S.A.,,afip_oficial
SSC,33550300899,SANTIAGO SAENZ S.A.,,afip_oficial
STCA,30708633417,GRUPO ST S.A.,,afip_oficial
STCB,30708633417,GRUPO ST S.A.,,afip_oficial
SXC,30716999498,MERCADO PAGO SERVICIOS DE PROCESAMIENTO S.R.L.,,afip_oficial
SYS,30709159182,YACOPINI SUD SA,,afip_oficial
SZ,30707923446,AGRO DE SOUZA S.A.,,afip_oficial
T6,30685376349,Tarjeta Naranja S.A.U.,Financiero - Consumo,manual_confirmado
T64,30685376349,Tarjeta Naranja S.A.,Financiero - Crédito Consumo,afip_oficial
T65,30685376349,Tarjeta Naranja S.A.,Financiero - Crédito Consumo,afip_oficial
T66,30685376349,Tarjeta Naranja S.A.,Financiero - Crédito Consumo,afip_oficial
TL,30503423347,TALLERES METALURGICOS CRUCIANELLI S.A.,,afip_oficial
TLC,30639453738,Telecom Argentina S.A.,Telecomunicaciones,afip_oficial
TLCJ,30639453738,TELECOM ARGENTINA S.A.,,afip_oficial
TLCK,30639453738,TELECOM ARGENTINA S.A.,,afip_oficial
TLCL,30639453738,TELECOM ARGENTINA S.A.,,afip_oficial
TLCN,30639453738,TELECOM ARGENTINA S.A.,,afip_oficial
TTC,30592665472,Tecpetrol S.A.,Energía - Petróleo y Gas,manual_confirmado
TY,30709000426,TOYOTA COMPANIA FINANCIERA DE ARGENTINA,,afip_oficial
TY3,30709000426,Toyota Compañía Financiera de Argentina S.A.,Financiero - Crédito Automotriz,afip_oficial
TYC,30709000426,Toyota Compañía Financiera de Argentina S.A.,Financiero - Crédito Automotriz,afip_oficial
TYCZ,30709000426,TOYOTA COMPANIA FINANCIERA DE ARGENTINA,,afip_oficial
UFS,30678145366,SEGUFER S.A.,,afip_oficial
UTC,30540127251,RUTA 3 AUTOMOTORES SA,,afip_oficial
UXS,30714347159,TUX SA,,afip_oficial
VE,30698318895,RICARDO VENTURINO S.A,,afip_oficial
VES,30698318895,RICARDO VENTURINO S.A,,afip_oficial
VM,33708128649,ESTACION DE SERVICIOS 25 DE MAYO SRL,,afip_oficial
VP,30707807810,OVOPROT INTERNATIONAL SA,,afip_oficial
VSC,33515950899,Vista Oil & Gas Argentina S.A.U.,Energía - Petróleo y Gas,afip_oficial
VWC,30682419578,Volkswagen Financial Services Cía. Financiera S.A.,Financiero - Crédito Automotriz,afip_oficial
