symbol,issuer,rating_lp,rating_bucket,sector,currency,price,ytm,macaulay_duration,rv_score,spread_bps,peer_count,peer_unique_issuers,peer_same_issuer_ratio,signal_type,theoretical_price,upside_pct,carry_advantage_pct,cashflow_confidence,structure_type,n_cashflows,cashflow_quality_score,signal_confidence_score,execution_score,liquidity_percentile,market_quality_score,days_stale,spread_bps_current,primary_species,tir_dispersion_bp,has_desarbitraje,signal_category,signal_label,alerts,alert_count,is_outlier,maturity_date
MSSFO,MSU S.A.,A+(arg),A,Energía,USD,103.05,0.056828,0.9084,-2.113,-166.5,3.0,3.0,0.0,cross_credit,101.5341,-1.47,-1.51,confirmed,amortizing,5,86.0,75.5,39.9,0.0,67.8,0.0,240.73000000000002,MEP,0.0,False,POSIBLE_OPORTUNIDAD,POSIBLE OPORTUNIDAD — REQUIERE VALIDACIÓN,,0,False,2027-07-23
OTS2O,[OTS],,Unrated,Sin mapear,USD,103.05,0.047753,0.7967,0.081,33.1,6.0,4.0,0.167,cross_credit,103.3153,0.26,0.26,mae,bullet,4,71.4,75.7,40.2,18.1,75.7,0.0,351.90999999999997,MEP,0.0,False,NEUTRO,,,0,False,2027-04-24
OTS3O,[OTS],,Unrated,Sin mapear,USD,104.05,0.056817,2.1659,0.341,138.8,6.0,4.0,0.167,cross_credit,107.0923,2.92,3.01,mae,bullet,10,81.0,80.5,32.5,0.0,65.9,0.0,347.92,MEP,0.0,False,NEUTRO,,,0,False,2028-11-01
OZC3O,EMPRESA DISTRIB DE ELECTRICIDAD DE MENDOZA S.A.,A+(arg),A,,USD,101.35,0.074466,1.365,0.563,68.6,3.0,3.0,0.0,cross_credit,102.2655,0.9,0.94,confirmed,bullet,3,84.8,74.9,86.4,58.3,88.3,0.0,40.22,MEP,165.2,True,NEUTRO,,desarbitraje,1,False,2027-11-29
PLC1O,Pluspetrol S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,102.75,0.048511,1.5195,0.294,28.0,23.0,8.0,0.043,cross_credit,103.1767,0.42,0.43,mae,bullet,4,71.4,75.7,78.9,72.2,85.8,0.0,47.46,MEP,183.8,True,NEUTRO,,desarbitraje,1,False,2028-01-27
PLC2O,Pluspetrol S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,107.0,0.057109,3.1846,0.476,38.9,20.0,8.0,0.05,cross_credit,108.2885,1.2,1.24,mae,bullet,8,77.8,78.9,78.9,56.9,94.3,0.0,69.59,MEP,92.2,False,NEUTRO,,,0,False,2030-01-27
PLC3O,Pluspetrol S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,106.55,0.028556,1.7581,-2.089,-184.6,24.0,8.0,0.083,cross_credit,103.1404,-3.2,-3.25,estimated,bullet,4,53.9,67.0,71.8,37.5,88.8,0.0,73.37,MEP,222.1,True,POTENCIALMENTE_CARO,POTENCIALMENTE CARO,cashflow_estimado|desarbitraje,2,False,2028-04-30
PLC4O,Pluspetrol S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,108.0,0.069597,4.7953,2.323,95.4,9.0,5.0,0.0,cross_credit,112.7735,4.42,4.57,confirmed,bullet,12,99.2,89.6,94.9,94.4,94.6,0.0,4.32,MEP,63.1,False,POTENCIALMENTE_BARATO,POTENCIALMENTE BARATO,,0,False,2032-05-30
PN34O,Pan American Energy LLC (PAE Sucursal),AAA(arg),AAA,Energía - Petróleo y Gas,USD,102.55,0.039058,1.2133,-0.578,-55.7,19.0,8.0,0.105,cross_credit,101.8704,-0.66,-0.68,mae,bullet,3,69.8,74.9,62.6,27.8,84.8,0.0,86.05000000000001,MEP,178.9,True,NEUTRO,,desarbitraje,1,False,2027-09-27
PN35O,Pan American Energy LLC (PAE Sucursal),AAA(arg),AAA,Energía - Petróleo y Gas,USD,106.75,0.052985,2.9259,0.08,6.7,20.0,8.0,0.15,cross_credit,106.9543,0.19,0.2,mae,bullet,7,76.2,78.1,89.3,70.8,87.2,0.0,41.91,MEP,91.9,False,NEUTRO,,,0,False,2029-09-27
PN36O,Pan American Energy LLC (PAE Sucursal),AAA(arg),AAA,Energía - Petróleo y Gas,USD,107.45,0.058147,4.5437,-0.554,-27.6,10.0,6.0,0.1,cross_credit,106.1395,-1.22,-1.26,mae,bullet,11,82.6,81.3,80.3,45.8,88.0,0.0,33.550000000000004,MEP,0.0,False,NEUTRO,,,0,False,2031-11-13
