ticker,moneda,tipo_liquidacion,precio_compra,precio_venta,spread_abs,spread_pct,monto_operado,years_to_maturity,liquidity_score,spread_cuartil
CWC6D,USD,2,100.0,104.0,4.0,4.0,1.0,1.1526,76.96,Q2
CIC7D,USD,2,99.5,103.5,4.0,4.0201,3063.5,0.1889,81.24,Q2
PLC1D,USD,1,102.8,106.95,4.15,4.037,4302.45,1.3963,82.15,Q2
RCCRD,USD,2,99.91,103.95,4.04,4.0436,40265.44,0.6762,87.66,Q2
OTS3D,USD,2,99.91,103.95,4.04,4.0436,1374.02,2.1602,80.14,Q2
VSCZD,USD,1,98.01,102.0,3.99,4.071,524.19,2.8638,78.92,Q3
PN41D,USD,1,103.0,107.2,4.2,4.0777,1051.57,2.9788,79.82,Q3
IE1MD,USD,2,100.8,105.0,4.2,4.1667,0.0,0.9309,54.61,Q3
CS48D,USD,1,103.2,107.5,4.3,4.1667,4097.0,1.8508,82.27,Q3
MTC2D,USD,2,98.1,102.2,4.1,4.1794,7185.89,1.7988,84.42,Q3
YM38O,ARS,1,157000.0,163580.0,6580.0,4.1911,19815997.8,0.8789,94.05,Q3
RCCRD,USD,1,102.2,106.5,4.3,4.2074,1.04,0.6762,76.83,Q3
YFCLO,ARS,2,155500.0,162090.0,6590.0,4.2379,40278939.2,2.2149,95.55,Q3
DNC7D,USD,2,106.0,110.5,4.5,4.2453,60540.95,4.1369,87.88,Q3
VAC3P,ARS,2,149600.0,156000.0,6400.0,4.2781,0.0,1.1444,54.5,Q3
AERBD,USD,2,99.91,104.2,4.29,4.2939,9993.12,0.2793,84.95,Q3
PLC6D,USD,1,101.85,106.25,4.4,4.3201,1.06,2.4832,76.78,Q3
YM38D,USD,1,101.6,106.0,4.4,4.3307,28113.85,0.8789,86.47,Q3
PLC1D,USD,2,99.91,104.4,4.49,4.494,341.66,1.3963,79.36,Q3
TTCED,USD,2,99.91,104.5,4.59,4.5941,35659.05,2.7105,86.5,Q3
TTC9D,USD,1,103.25,108.0,4.75,4.6005,937.44,3.1376,78.28,Q3
GN47D,USD,2,101.2,106.0,4.8,4.7431,25085.82,2.1191,86.5,Q3
PLC3O,ARS,1,157500.0,165000.0,7500.0,4.7619,156303.0,1.6537,87.24,Q3
IRCOO,ARS,1,157000.0,164500.0,7500.0,4.7771,841289.4,3.1348,90.75,Q3
AERBD,USD,1,100.1,104.9,4.8,4.7952,0.0,0.2793,54.34,Q3
GYC4O,ARS,2,149800.0,157000.0,7200.0,4.8064,618438.6,1.1526,88.01,Q3
STCFD,USD,2,99.0,103.8,4.8,4.8485,0.0,0.4572,54.31,Q3
BYCXD,USD,2,98.1,102.9,4.8,4.893,1023.5,0.3203,78.26,Q3
PN37D,USD,2,99.91,104.8,4.89,4.8944,3857.73,2.193,82.45,Q3
PECNO,ARS,2,90000.0,94500.0,4500.0,5.0,15682900.1,5.974,94.02,Q3
YM38O,ARS,2,157000.0,164990.0,7990.0,5.0892,80395906.0,0.8789,95.86,Q3
HJCGD,USD,2,98.1,103.2,5.1,5.1988,37293.47,2.13,84.7,Q3
CP37D,USD,2,97.1,102.2,5.1,5.2523,406.0,0.512,77.49,Q3
MR46O,ARS,2,123500.0,130000.0,6500.0,5.2632,105048325.9,8.3231,96.07,Q3
SNEAO,ARS,2,91000.0,95800.0,4800.0,5.2747,5110911.8,2.8583,91.98,Q3
PLC5D,USD,1,106.5,112.3,5.8,5.446,12144.0,4.7009,83.75,Q3
PN36D,USD,1,107.0,113.0,6.0,5.6075,1841.1,5.191,78.76,Q3
CS47D,USD,1,102.0,107.75,5.75,5.6373,389.94,2.1985,78.45,Q3
FO4AD,USD,2,98.1,103.7,5.6,5.7085,21353.7,1.8754,84.69,Q3
MGCRD,USD,1,107.1,113.3,6.2,5.789,21505.0,11.1951,83.2,Q3
MGCND,USD,2,99.91,105.7,5.79,5.7952,33511.38,2.0835,86.73,Q3
CS48O,ARS,2,156230.0,165380.0,9150.0,5.8567,19730998.2,1.8508,94.23,Q3
LR8BO,ARS,2,151000.0,159990.0,8990.0,5.9536,2817147.5,1.9055,90.69,Q3
OTS2D,USD,1,99.5,105.5,6.0,6.0302,0.0,0.6352,54.04,Q3
VSCYD,USD,1,98.0,104.0,6.0,6.1224,0.0,1.3662,54.02,Q3
YFCID,USD,1,100.8,107.0,6.2,6.1508,0.0,0.7721,54.0,Q3
TTC9O,ARS,2,158030.0,168000.0,9970.0,6.3089,83773770.5,3.1376,95.77,Q3
PN38D,USD,1,103.0,109.5,6.5,6.3107,0.0,0.9336,53.97,Q3
HJCID,USD,1,101.5,108.0,6.5,6.4039,0.0,0.7255,53.96,Q3
CS53D,USD,1,100.0,106.5,6.5,6.5,1059.41,3.6523,80.26,Q3
YM41D,USD,1,99.11,105.65,6.54,6.5987,2542.0,0.345,80.87,Q3
HJCID,USD,2,98.1,104.6,6.5,6.6259,35960.9,0.7255,85.46,Q3
SNEBO,ARS,2,102000.0,109000.0,7000.0,6.8627,3433319.2,2.8583,91.19,Q3
VSCXO,ARS,2,160000.0,171000.0,11000.0,6.875,542945900.0,11.5921,96.75,Q3
PLC7O,ARS,2,159000.0,170000.0,11000.0,6.9182,407818300.0,11.0719,96.54,Q3
TLCPO,ARS,2,165000.0,176500.0,11500.0,6.9697,277830731.8,6.7296,96.7,Q3
PN38D,USD,2,99.91,106.9,6.99,6.9963,261.08,0.9336,76.76,Q3
TLCUD,USD,2,100.0,107.0,7.0,7.0,17692.0,2.4997,84.89,Q3
TTC9D,USD,2,99.91,107.0,7.09,7.0964,48810.37,3.1376,87.23,Q3
EAC3D,USD,2,98.01,105.0,6.99,7.1319,3037.05,2.2943,81.08,Q3
TLCOD,USD,2,98.5,105.7,7.2,7.3096,8530.23,2.2341,84.19,Q3
CAC5D,USD,2,50.0,53.8,3.8,7.6,15631.07,1.974,85.27,Q3
GOC4O,ARS,2,130000.0,140000.0,10000.0,7.6923,520057.1,2.6475,88.49,Q3
MR46D,USD,2,77.06,82.99,5.93,7.6953,31020.12,8.3231,86.18,Q3
RVS1O,ARS,2,24.0,25.85,1.85,7.7083,520178.88,0.4819,89.19,Q3
MR43D,USD,2,21.1,22.75,1.65,7.8199,116371.98,9.8207,88.83,Q3
MGCQD,USD,2,99.91,108.0,8.09,8.0973,82884.12,1.922,87.48,Q4_wide
NPCCD,USD,2,99.91,108.0,8.09,8.0973,116446.3,2.9733,88.43,Q4_wide
VSCPD,USD,2,102.0,110.35,8.35,8.1863,174806.01,2.6612,88.82,Q4_wide
YM42D,USD,2,100.0,108.2,8.2,8.2,225119.34,2.4914,89.47,Q4_wide
ARC1D,USD,2,99.91,108.4,8.49,8.4976,102397.5,4.9062,87.59,Q4_wide
CACBD,USD,2,98.1,106.8,8.7,8.8685,47905.14,1.7851,86.18,Q4_wide
CS50D,USD,2,99.91,108.9,8.99,8.9981,116652.54,2.5133,88.32,Q4_wide
YM42D,USD,1,99.9,108.9,9.0,9.009,1992.84,2.4914,79.72,Q4_wide
OLC5D,USD,2,98.1,106.95,8.85,9.0214,81262.55,1.7714,86.95,Q4_wide
MR43O,ARS,2,32000.0,34900.0,2900.0,9.0625,203939938.3,9.8207,96.28,Q4_wide
VSCQD,USD,2,90.11,98.5,8.39,9.3108,0.0,1.8426,53.5,Q4_wide
DNC3O,ARS,2,149000.0,163000.0,14000.0,9.396,93275947.1,0.2163,95.47,Q4_wide
GN47D,USD,1,98.6,107.9,9.3,9.432,357.7,2.1191,76.61,Q4_wide
PN43D,USD,2,99.91,109.5,9.59,9.5986,138623.5,10.3655,87.98,Q4_wide
YFCOD,USD,2,99.91,109.5,9.59,9.5986,719441.22,2.2806,89.21,Q4_wide
MR45D,USD,2,28.7,31.5,2.8,9.7561,857.51,9.8207,78.36,Q4_wide
TSC4D,USD,2,99.91,110.3,10.39,10.3994,98297.5,9.2101,87.47,Q4_wide
BACGD,USD,2,98.1,108.5,10.4,10.6014,55215.0,2.8008,85.81,Q4_wide
RUCDD,USD,2,98.0,108.8,10.8,11.0204,79372.8,4.2519,87.63,Q4_wide
MR46D,USD,1,77.0,85.5,8.5,11.039,245.41,8.3231,76.98,Q4_wide
SNSBD,USD,2,75.0,83.5,8.5,11.3333,1252.47,0.1095,78.74,Q4_wide
LUC5O,ARS,2,152400.0,170000.0,17600.0,11.5486,12531423.9,2.4805,92.11,Q4_wide
VSCUD,USD,1,101.65,113.5,11.85,11.6576,5112.61,3.5044,79.67,Q4_wide
SNSBO,ARS,2,112000.0,126000.0,14000.0,12.5,27106.8,0.1095,82.97,Q4_wide
TTCAD,USD,2,99.91,113.0,13.09,13.1018,150138.0,6.3847,86.99,Q4_wide
VSCUD,USD,2,99.91,113.5,13.59,13.6022,111902.61,3.5044,87.53,Q4_wide
YFCJD,USD,2,99.91,113.6,13.69,13.7023,100026.0,6.1164,87.48,Q4_wide
SNABD,USD,2,69.0,78.7,9.7,14.058,2980.53,2.8583,81.3,Q4_wide
SNSDD,USD,2,70.0,80.3,10.3,14.7143,190.84,0.4244,77.83,Q4_wide
BACHD,USD,2,98.1,113.0,14.9,15.1886,35981.0,4.3997,84.57,Q4_wide
MGCED,USD,2,85.0,99.0,14.0,16.4706,18215.06,1.2895,84.54,Q4_wide
PECND,USD,2,59.0,69.0,10.0,16.9492,7651.89,5.974,83.35,Q4_wide
PNXCD,USD,2,99.91,117.0,17.09,17.1054,36567.5,5.6537,84.54,Q4_wide
VSCQO,ARS,2,130000.0,155000.0,25000.0,19.2308,98466.6,1.8426,84.82,Q4_wide
LMS8D,USD,2,75.0,90.0,15.0,20.0,0.0,0.5421,53.12,Q4_wide
SNSDO,ARS,2,102000.0,123000.0,21000.0,20.5882,8819.0,0.4244,81.78,Q4_wide
FYC1O,ARS,2,140000.0,170000.0,30000.0,21.4286,0.0,2.6831,53.08,Q4_wide
HVS1O,ARS,2,140000.0,170000.0,30000.0,21.4286,0.0,1.8426,53.08,Q4_wide
EAC1D,USD,2,85.0,105.0,20.0,23.5294,0.0,0.104,53.05,Q4_wide
YMCTO,ARS,2,129000.0,160000.0,31000.0,24.031,531296.0,0.0986,86.15,Q4_wide
SNABO,ARS,2,96000.0,119800.0,23800.0,24.7917,392790.5,2.8583,86.95,Q4_wide
CLSID,USD,2,36.3,45.999,9.699,26.719,30.92,0.8898,76.28,Q4_wide
