entidad,fecha,pais,area,sector,tipo,rating_cp,rating_lp,perspectiva,estado
FF CASH I,2025-11-03,Uruguay,Finanzas Estructuradas,Prestamos De Consumo,TDC,,A+sf(uy),Perspectiva Estable,Confirma
FF CASH I,2026-04-29,Uruguay,Finanzas Estructuradas,Prestamos De Consumo,CP,,BB+(uy),Perspectiva Estable,Confirma
FF CASH II,2026-04-29,Uruguay,Finanzas Estructuradas,Prestamos Personales,TDA,,AA+(uy),Perspectiva Estable,Confirma
FF CASH II,2026-04-29,Uruguay,Finanzas Estructuradas,Prestamos Personales,TDB,,AA-(uy),Perspectiva Estable,Confirma
FF CASH II,2026-04-29,Uruguay,Finanzas Estructuradas,Prestamos Personales,TDC,,A+sf(uy),Perspectiva Estable,Confirma
FF CASH II,2026-04-29,Uruguay,Finanzas Estructuradas,Prestamos Personales,CP,,BB+(uy),Perspectiva Estable,Confirma
FF Consubond 182,2024-02-21,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,,AAAsf(arg),Perspectiva Estable,Confirma
FF Consubond 182,2024-02-21,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFB,,A+sf(arg),Perspectiva Estable,Confirma
FF para el Financiamiento de Inversiones de Establecimientos Lecheros (FFIEL),2026-04-29,Uruguay,Finanzas Estructuradas,Flujos Futuros De Fondos,TD Senior Programa 1,,A+sf(uy),Perspectiva Estable,Confirma
FF para el Financiamiento de Inversiones de Establecimientos Lecheros (FFIEL),2026-04-29,Uruguay,Finanzas Estructuradas,Flujos Futuros De Fondos,TD Subordinados Programa 1,,Bsf(uy),Perspectiva Estable,Confirma
FF para el Financiamiento de Inversiones de Establecimientos Lecheros (FFIEL),2026-04-29,Uruguay,Finanzas Estructuradas,Flujos Futuros De Fondos,CP Programa 1,,CCCsf(uy),N.C,Confirma
FF para el Financiamiento de Inversiones de Establecimientos Lecheros (FFIEL),2026-04-29,Uruguay,Finanzas Estructuradas,Flujos Futuros De Fondos,TD Senior Programa 1 - Serie 1,,A+sf(uy),Perspectiva Estable,Confirma
FF para el Financiamiento de Inversiones de Establecimientos Lecheros (FFIEL),2026-04-29,Uruguay,Finanzas Estructuradas,Flujos Futuros De Fondos,TD Subordinado Programa 1 - Serie 1< ...,,Bsf(uy),Perspectiva Estable,Confirma
FF para el Financiamiento de Inversiones de Establecimientos Lecheros (FFIEL),2026-04-29,Uruguay,Finanzas Estructuradas,Flujos Futuros De Fondos,CP Programa 1 - Serie 1,,CCCsf(uy),N.C,Confirma
FF Proyecto V.I.D.A. - Laboratorios Richmond,2026-04-15,Argentina,Finanzas Sostenibles,Project Finance,FF Proyecto Vida – Laboratorios Rich ...,,BSS1(arg),Perspectiva Estable,Confirma
FF Proyecto V.I.D.A. - Laboratorios Richmond,2026-05-14,Argentina,Finanzas Corporativas,Project Finance,Certificados de Participación,,Asf(arg),Perspectiva Estable,Confirma
Fideicomiso de Afectación Específica para Garantizar PyMES Mendocinas (FAE),2026-05-06,Argentina,Sociedades De Garantía Recíproca (Sgr),Sociedades De Garantía Recíproca (Sgr),Calificación de corto plazo,A2(arg),A-(arg),Perspectiva Estable,Confirma
Fideicomiso Financiero Argentinos Juniors,2025-10-29,Argentina,Finanzas Estructuradas,Flujos Futuros De Fondos,VDF,,BBB+sf(arg),Perspectiva Estable,Confirma
Fideicomiso Financiero AYSA I,2026-05-14,Argentina,Finanzas Estructuradas,Flujos Futuros De Fondos,Valores de Deuda Fiduciaria,,AA+sf(arg),Perspectiva Estable,Confirma
Fideicomiso Financiero Chayé,2025-12-01,Argentina,Finanzas Estructuradas,Cuentas Por Cobrar,VDFA,,AAsf(arg),Perspectiva Estable,Confirma
Fideicomiso Financiero Chayé II,2026-03-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFA,,AAsf(arg),Perspectiva Estable,Confirma
Fideicomiso Financiero Chayé II,2026-03-10,Argentina,Finanzas Estructuradas,Prestamos Personales,VDFB,,A-sf(arg),Perspectiva Estable,Confirma
Fideicomiso Financiero Chayé II,2026-03-10,Argentina,Finanzas Estructuradas,Prestamos Personales,CP,,BBsf(arg),Perspectiva Estable,Confirma
Fideicomiso Financiero Desarrollos Pilay I,2026-02-02,Argentina,Finanzas Estructuradas,Emprendimientos Inmobiliarios Y Fondos De Inversiã³N,VDF Clase A,,AAsf(arg),Perspectiva Estable,Preliminar
Fideicomiso Financiero Desarrollos Pilay I,2026-02-02,Argentina,Finanzas Estructuradas,Emprendimientos Inmobiliarios Y Fondos De Inversiã³N,VDF Clase B,,BBsf(arg),Perspectiva Estable,Preliminar
